demarcation.code,opinion.code,Debt to Community Wealth/Equity,Capital Expenditure % Total Expenditure,"Impairment of PPE, IP and IA %",Repairs and Maintenance % PPE +IP,Debt to Total Operating Revenue,Current Ratio,Capital Cost % Total Operating Expenditure,Net Operating Surplus Margin %,Remuneration % Total Operating Expenditure,Contracted Services % Total Operating Expenditure,Own Source Revenue to Total Operating Revenue,Net Surplus / Deficit Water %,Net Surplus / Deficit Elec %
DC30,unqualified_emphasis_of_matter,25.968647507542478,7.16875906458436,5.0437028996196025,0.0,0.3533756539280484,1.5540547691914406,2.9990690213481086,10.989024320590131,29.18938232862597,0.7525444032576349,58.678339938777256,0.0,0.0
DC31,unqualified_emphasis_of_matter,15.880282944618811,3.7174316040249176,8.888753746133917,4.525899625822349,0.3242428936050827,10.261309301724706,1.4404703429265648,-8.90094131472932,19.215974575378088,1.1342348646750329,32.5906713399244,0.0,0.0
DC32,unqualified,787.3012685343242,4.365210995245365e-07,4.131584906437204,0.0,1.1225101407778573,0.5692418253683076,10.161338199088542,-9.321880219518015,92.18103403118505,0.0,100.0,0.0,0.0
DC33,disclaimer,34.06354392988896,35.781083449558686,6.567466952658419,4.063246231176427,0.8578442499225124,1.4445841684531446,0.0662792873912951,19.43295747135952,30.405300461658317,3.105066147777312,99.5695848650221,-3990575300.0,0.0
DC34,disclaimer,15.783021370417593,53.75811890822641,2.4825068052830472,0.0,0.3361258070189162,0.7287559703258251,0.0,67.94124684987946,159.9772466036124,0.0,99.72833075777922,99.99999881705959,0.0
DC35,qualified,15.04651454947598,37.75448421750049,4.179705605539217,0.2516393289112885,0.31963984817167024,1.3451223517911453,0.04162039178041807,31.817637192902623,36.27850416065086,0.0,99.89364203859263,0.0,0.0
DC36,qualified,17.376893029081806,6.59206241349946,12.457404174991973,0.0,0.2497375403474008,10.515761811221703,0.0,-16.468286491164374,50.54559792375364,11.599223951587046,76.1654003937515,0.0,0.0
DC37,unqualified_emphasis_of_matter,879.0786043467766,7.647202393753273,17.616246802449588,7.1583219136758975,0.16277435503833526,0.12952160738768148,0.01774999461877991,-6.633815665750522,48.936531196869794,0.0,67.55672613336995,0.0,0.0
DC38,disclaimer,11.265088975746947,38.95514712476088,5.1361818843874865,1.2867490019600931,0.5162113020003316,0.2624437579876344,0.2397893596246223,1.221029534559693,30.24341385566539,2.5011026824096314,84.26495098659774,-195629400.0,0.0
DC39,qualified,9.827602166361515,21.631139325002287,2.1678044562380867,0.10315698260588672,0.4131743291814315,0.9599364917027988,0.0,14.065264449277349,18.72580199865498,8.672666564413559,80.38872751053185,-4432516200.0,0.0
DC4,unqualified_emphasis_of_matter,38.59852617535281,2.41684466388704,1.032564627545295,0.5957879244426066,0.6223440091301297,1.3046092473961028,0.2773877172238112,5.342113854073818,36.67673250387568,2.3843491956644627,100.0,0.0,0.0
DC40,unqualified_emphasis_of_matter,32.28879030717443,1.7689896781475176,24.242889787030503,7.334824265304039,0.2829572252547708,4.188882262870055,0.4979270240905657,-25.025590794118013,26.331512164922586,0.8674888431060098,29.8116430617548,0.0,0.0
DC42,unqualified,45.269587129641884,5.021996654696883,14.933970320674687,2.706439570977336,0.17988680845644792,0.2964863752477045,0.013287202809889995,-4.035142787072278,95.40197763171804,0.0,98.52404003102914,0.0,0.0
DC43,unqualified_emphasis_of_matter,15.533048694077133,32.39629564431582,2.5184843196863347,0.0,0.3326511763888557,0.6734515161492725,1.1145471141782326,32.023340407434354,26.3248549862125,5.533133275125498,100.0,55.56434479797844,0.0
DC44,disclaimer,9.906955654707069,24.881876450032077,2.9498268212220218,0.0,0.22852260526196244,1.8512773743972584,0.0,22.35661486917797,21.30981304890847,0.0,100.0,0.0,0.0
DC45,qualified,40.26536053072106,6.970990817076569,3.3769227458316697,0.0,0.5524842778904447,3.2571077056786746,2.654567943209375,2.5423166190527797,96.94367018744222,0.0,100.0,0.0,0.0
DC47,qualified,25.56809757227013,43.258873156588145,2.6157353627940134,2.2103705472437056,0.5304570190787428,1.1188690635812844,0.10869188128664613,41.39028823604321,39.71755341485085,3.306581274364814,99.81270218241235,-183.41305434810542,0.0
DC48,unqualified_emphasis_of_matter,95.97074041979158,3.5614308278157703,14.320603133233625,2.4656419123064675,0.3783125988225178,2.3248895845533304,0.3363191458551609,-14.758412710623155,57.22063184675815,22.151481769845734,100.0,0.0,0.0
DC5,unqualified_emphasis_of_matter,-280.443633876069,2.9125534877917767,14.774835233101713,37.25906045675775,0.4941244853675064,0.4444633144587451,0.06435956883062864,-1.7785566467129441,20.847071086099426,1.212927133178607,100.0,0.0,0.0
